seq(0,d(9),0). seq(0,d(6),1). seq(0,d(8),2). seq(0,d(6),3). seq(0,d(9),4). seq(0,d(6),5). seq(0,d(1),6). seq(0,d(9),7). seq(0,d(9),8). seq(0,d(3),9). class(0,1).
seq(1,d(9),0). seq(1,d(7),1). seq(1,d(1),2). seq(1,d(8),3). seq(1,d(2),4). seq(1,d(9),5). seq(1,d(5),6). seq(1,d(0),7). seq(1,d(8),8). seq(1,d(5),9). class(1,1).
seq(2,d(9),0). seq(2,d(1),1). seq(2,d(7),2). seq(2,d(9),3). seq(2,d(4),4). seq(2,d(6),5). seq(2,d(8),6). seq(2,d(5),7). seq(2,d(3),8). seq(2,d(1),9). class(2,1).
seq(3,d(6),0). seq(3,d(3),1). seq(3,d(7),2). seq(3,d(8),3). seq(3,d(9),4). seq(3,d(9),5). seq(3,d(8),6). seq(3,d(6),7). seq(3,d(8),8). seq(3,d(4),9). class(3,0).
seq(4,d(6),0). seq(4,d(6),1). seq(4,d(6),2). seq(4,d(6),3). seq(4,d(2),4). seq(4,d(1),5). seq(4,d(3),6). seq(4,d(9),7). seq(4,d(4),8). seq(4,d(9),9). class(4,0).
seq(5,d(1),0). seq(5,d(9),1). seq(5,d(8),2). seq(5,d(3),3). seq(5,d(4),4). seq(5,d(1),5). seq(5,d(6),6). seq(5,d(2),7). seq(5,d(7),8). seq(5,d(0),9). class(5,1).
seq(6,d(6),0). seq(6,d(4),1). seq(6,d(1),2). seq(6,d(2),3). seq(6,d(6),4). seq(6,d(1),5). seq(6,d(6),6). seq(6,d(5),7). seq(6,d(8),8). seq(6,d(0),9). class(6,0).
seq(7,d(0),0). seq(7,d(7),1). seq(7,d(8),2). seq(7,d(8),3). seq(7,d(2),4). seq(7,d(3),5). seq(7,d(2),6). seq(7,d(1),7). seq(7,d(8),8). seq(7,d(8),9). class(7,1).
seq(8,d(8),0). seq(8,d(9),1). seq(8,d(6),2). seq(8,d(4),3). seq(8,d(3),4). seq(8,d(2),5). seq(8,d(3),6). seq(8,d(1),7). seq(8,d(5),8). seq(8,d(4),9). class(8,1).
seq(9,d(7),0). seq(9,d(6),1). seq(9,d(8),2). seq(9,d(6),3). seq(9,d(9),4). seq(9,d(3),5). seq(9,d(5),6). seq(9,d(6),7). seq(9,d(1),8). seq(9,d(2),9). class(9,1).
seq(10,d(4),0). seq(10,d(2),1). seq(10,d(2),2). seq(10,d(3),3). seq(10,d(9),4). seq(10,d(2),5). seq(10,d(8),6). seq(10,d(9),7). seq(10,d(5),8). seq(10,d(8),9). class(10,0).

seq(26,d(4),0). seq(26,d(7),1). seq(26,d(6),2). seq(26,d(9),3). seq(26,d(6),4). seq(26,d(2),5). seq(26,d(3),6). seq(26,d(5),7). seq(26,d(4),8). seq(26,d(4),9). class(26,0).

seq(28,d(2),0). seq(28,d(7),1). seq(28,d(9),2). seq(28,d(0),3). seq(28,d(2),4). seq(28,d(8),5). seq(28,d(6),6). seq(28,d(2),7). seq(28,d(1),8). seq(28,d(9),9). class(28,0).

seq(30,d(0),0). seq(30,d(8),1). seq(30,d(2),2). seq(30,d(4),3). seq(30,d(4),4). seq(30,d(6),5). seq(30,d(3),6). seq(30,d(7),7). seq(30,d(5),8). seq(30,d(4),9). class(30,0).


seq(46,d(1),0). seq(46,d(8),1). seq(46,d(6),2). seq(46,d(8),3). seq(46,d(6),4). seq(46,d(6),5). seq(46,d(1),6). seq(46,d(9),7). seq(46,d(7),8). seq(46,d(8),9). class(46,0).
seq(47,d(2),0). seq(47,d(1),1). seq(47,d(9),2). seq(47,d(6),3). seq(47,d(0),4). seq(47,d(2),5). seq(47,d(9),6). seq(47,d(9),7). seq(47,d(3),8). seq(47,d(1),9). class(47,0).
seq(48,d(7),0). seq(48,d(7),1). seq(48,d(4),2). seq(48,d(7),3). seq(48,d(8),4). seq(48,d(4),5). seq(48,d(2),6). seq(48,d(8),7). seq(48,d(4),8). seq(48,d(8),9). class(48,0).
seq(49,d(3),0). seq(49,d(1),1). seq(49,d(0),2). seq(49,d(1),3). seq(49,d(2),4). seq(49,d(8),5). seq(49,d(2),6). seq(49,d(0),7). seq(49,d(7),8). seq(49,d(1),9). class(49,0).
